,Date,Price,Open,High,Low,Vol.,Change %,portid_rizhao,portname_rizhao,country_rizhao,ISO3_rizhao,portcalls_container_rizhao,portcalls_dry_bulk_rizhao,portcalls_general_cargo_rizhao,portcalls_roro_rizhao,portcalls_tanker_rizhao,portcalls_cargo_rizhao,portcalls_rizhao,import_container_rizhao,import_dry_bulk_rizhao,import_general_cargo_rizhao,import_roro_rizhao,import_tanker_rizhao,import_cargo_rizhao,import_rizhao,export_container_rizhao,export_dry_bulk_rizhao,export_general_cargo_rizhao,export_roro_rizhao,export_tanker_rizhao,export_cargo_rizhao,export_rizhao,ObjectId_rizhao,portid_santos,portname_santos,country_santos,ISO3_santos,portcalls_container_santos,portcalls_dry_bulk_santos,portcalls_general_cargo_santos,portcalls_roro_santos,portcalls_tanker_santos,portcalls_cargo_santos,portcalls_santos,import_container_santos,import_dry_bulk_santos,import_general_cargo_santos,import_roro_santos,import_tanker_santos,import_cargo_santos,import_santos,export_container_santos,export_dry_bulk_santos,export_general_cargo_santos,export_roro_santos,export_tanker_santos,export_cargo_santos,export_santos,ObjectId_santos
681,2022-03-10,"1,700.00","1,687.75","1,716.25","1,681.25",0.22K,0.80%,port1105,Rizhao,China,CHN,0,2,1,0,0,3,3,0.0,105143.154385389,0.0,0.0,0.0,105143.154385389,105143.154385389,0.0,18617.5568486328,636.58891832381,0.0,0.0,19254.1457669566,19254.1457669566,251816,port1160,Santos,Brazil,BRA,6,6,1,0,2,13,15,1284.72074299953,0.0,0.0,0.0,7358.11540284352,1284.72074299953,8642.83614584305,94355.2304058207,170941.037675753,2605.80780986412,0.0,18604.3942309353,267902.075891438,286506.470122373,373999
680,2022-03-11,"1,690.75","1,706.50","1,707.25","1,680.75",0.33K,-0.54%,port1105,Rizhao,China,CHN,2,4,2,0,0,8,8,0.0,161266.952699944,0.0,0.0,0.0,161266.952699944,161266.952699944,1270.26832201442,710.854074719355,4258.23374234111,0.0,0.0,6239.35613907488,6239.35613907488,251821,port1160,Santos,Brazil,BRA,6,3,1,1,2,11,13,27629.6014382075,33806.4967372748,0.0,0.0,0.0,61436.0981754823,61436.0981754823,50318.8630390846,44651.0266523698,10459.362976333,2483.39152983124,25165.5894012331,107912.644197619,133078.233598852,374000
679,2022-03-14,"1,687.25","1,708.00","1,710.00","1,705.00",0.05K,-0.21%,port1105,Rizhao,China,CHN,1,4,1,0,0,6,6,0.0,86992.57327629,3928.71611517687,0.0,0.0,90921.2893914669,90921.2893914669,2185.70897331783,0.0,0.0,0.0,0.0,2185.70897331783,2185.70897331783,251836,port1160,Santos,Brazil,BRA,7,4,1,0,3,12,15,47595.4214702382,0.0,0.0,0.0,19276.0499105053,47595.4214702382,66871.4713807435,46624.6604083833,126655.509889225,9370.27696113464,0.0,9437.38421441443,182650.447258743,192087.831473157,373608
678,2022-03-15,"1,658.75","1,674.00","1,674.00","1,638.00",70.45K,-1.69%,port1105,Rizhao,China,CHN,1,6,1,0,0,8,8,642.652168940171,142383.646723473,5311.03882165394,0.0,0.0,148337.337714067,148337.337714067,0.0,436.446689176499,1881.13364960939,0.0,0.0,2317.58033878589,2317.58033878589,251873,port1160,Santos,Brazil,BRA,6,2,2,0,4,10,14,3179.85184602937,4613.76029068467,0.0,0.0,17493.6753535779,7793.61213671403,25287.287490292,85110.2246306753,39947.6794537948,13129.3827019919,0.0,8185.8717582313,138187.286786462,146373.158544693,373615
677,2022-03-16,"1,649.25","1,661.00","1,681.25","1,645.25",65.23K,-0.57%,port1105,Rizhao,China,CHN,0,3,1,0,0,4,4,0.0,51229.1445681507,0.0,0.0,0.0,51229.1445681507,51229.1445681507,0.0,0.0,4317.35654528785,0.0,0.0,4317.35654528785,4317.35654528785,251880,port1160,Santos,Brazil,BRA,6,5,1,1,2,13,15,16451.4169880468,0.0,0.0,0.0,0.0,16451.4169880468,16451.4169880468,21163.1026547639,162869.509004474,5483.84313240314,8601.14235387384,13433.8277156876,198117.597145515,211551.424861202,373623
676,2022-03-17,"1,668.50","1,649.25","1,677.50","1,647.25",74.32K,1.17%,port1105,Rizhao,China,CHN,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251884,port1160,Santos,Brazil,BRA,5,7,1,0,4,13,17,69879.3817849517,13446.342700288,0.0,0.0,4285.28834894274,83325.7244852398,87611.0128341825,0.0,164268.939650717,27996.2165340214,0.0,35162.5690350934,192265.156184738,227427.725219831,373677
675,2022-03-18,"1,668.00","1,669.75","1,689.00","1,651.50",67.11K,-0.03%,port1105,Rizhao,China,CHN,1,7,0,0,0,8,8,0.0,406972.533156343,0.0,0.0,0.0,406972.533156343,406972.533156343,3020.51807657033,0.0,0.0,0.0,0.0,3020.51807657033,3020.51807657033,251888,port1160,Santos,Brazil,BRA,5,1,1,0,0,7,7,20559.5773417793,22213.2160885385,0.0,0.0,0.0,42772.7934303178,42772.7934303178,59100.0324242,0.0,21827.2082202832,0.0,0.0,80927.2406444831,80927.2406444831,373689
674,2022-03-21,"1,691.00","1,673.00","1,710.00","1,666.75",82.39K,1.38%,port1105,Rizhao,China,CHN,1,3,2,0,0,6,6,1304.41571936305,134211.350985419,0.0,0.0,0.0,135515.766704782,135515.766704782,0.0,29068.0177040776,8033.5355580255,0.0,0.0,37101.5532621031,37101.5532621031,251900,port1160,Santos,Brazil,BRA,4,2,1,1,4,8,12,61422.819279865,13374.4919356344,0.0,0.0,11560.6398010287,74797.3112154994,86357.9510165281,13936.7785823454,39952.4098808386,1130.17126289413,3293.67717916658,35774.567417754,58313.0369052447,94087.6043229987,373698
673,2022-03-22,"1,696.50","1,692.75","1,720.75","1,686.00",80.75K,0.33%,port1105,Rizhao,China,CHN,1,4,1,0,0,6,6,0.0,220351.558212836,0.0,0.0,0.0,220351.558212836,220351.558212836,1027.36406938152,25384.6041058899,214.356692010701,0.0,0.0,26626.3248672821,26626.3248672821,251904,port1160,Santos,Brazil,BRA,5,7,1,1,4,14,18,36441.0509387967,45460.6090590858,0.0,0.0,8563.15295384153,81901.6599978825,90464.812951724,1900.62512717229,105848.035095381,18065.68057118,2868.57302866919,11723.1256779729,128682.913822403,140406.039500376,373699
672,2022-03-23,"1,718.75","1,695.50","1,736.50","1,691.00",75.50K,1.31%,port1105,Rizhao,China,CHN,1,6,1,0,1,8,9,0.0,172980.784075527,0.0,0.0,0.0,172980.784075527,172980.784075527,0.0,12562.3491718856,9443.43617596252,0.0,0.0,22005.7853478481,22005.7853478481,251907,port1160,Santos,Brazil,BRA,5,4,0,1,2,10,12,967.832202007135,0.0,0.0,573.524612231129,10190.3362115601,1541.35681423826,11731.6930257983,53183.2769963763,121190.385350072,0.0,0.0,0.0,174373.662346449,174373.662346449,373700
