,Date,Price,Open,High,Low,Vol.,Change %,portid_buenaventura,portname_buenaventura,country_buenaventura,ISO3_buenaventura,portcalls_container_buenaventura,portcalls_dry_bulk_buenaventura,portcalls_general_cargo_buenaventura,portcalls_roro_buenaventura,portcalls_tanker_buenaventura,portcalls_cargo_buenaventura,portcalls_buenaventura,import_container_buenaventura,import_dry_bulk_buenaventura,import_general_cargo_buenaventura,import_roro_buenaventura,import_tanker_buenaventura,import_cargo_buenaventura,import_buenaventura,export_container_buenaventura,export_dry_bulk_buenaventura,export_general_cargo_buenaventura,export_roro_buenaventura,export_tanker_buenaventura,export_cargo_buenaventura,export_buenaventura,ObjectId_buenaventura,portid_neworleans,portname_neworleans,country_neworleans,ISO3_neworleans,portcalls_container_neworleans,portcalls_dry_bulk_neworleans,portcalls_general_cargo_neworleans,portcalls_roro_neworleans,portcalls_tanker_neworleans,portcalls_cargo_neworleans,portcalls_neworleans,import_container_neworleans,import_dry_bulk_neworleans,import_general_cargo_neworleans,import_roro_neworleans,import_tanker_neworleans,import_cargo_neworleans,import_neworleans,export_container_neworleans,export_dry_bulk_neworleans,export_general_cargo_neworleans,export_roro_neworleans,export_tanker_neworleans,export_cargo_neworleans,export_neworleans,ObjectId_neworleans
1182,2020-03-02,115.6,112.25,117.8,111.35,50.69K,3.82%,port183,Buenaventura,Colombia,COL,2,1,0,0,0,3,3,1996.13090958085,3403.30828203595,0.0,0.0,0.0,5399.4391916168,5399.4391916168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092326,port812,New Orleans,United States,USA,2,7,2,0,6,11,17,4072.97482353094,40635.8502035362,451.084193461251,0.0,10699.0218472157,45159.9092205284,55858.9310677441,1661.74877298492,108186.570830006,16228.4225475229,0.0,52031.0992150994,126076.742150514,178107.841365613,3124358
1181,2020-03-03,122.2,117.0,122.45,116.9,51.88K,5.71%,port183,Buenaventura,Colombia,COL,2,0,0,0,0,2,2,14982.9257208596,0.0,0.0,0.0,0.0,14982.9257208596,14982.9257208596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092327,port812,New Orleans,United States,USA,2,3,0,0,5,5,10,1726.486309147,13988.0023646174,0.0,0.0,1474.42360543496,15714.4886737644,17188.9122791994,14343.3892603188,32392.3003174447,0.0,0.0,49876.2246625974,46735.6895777635,96611.9142403609,3124377
1180,2020-03-04,118.4,119.75,122.2,116.9,29.22K,-3.11%,port183,Buenaventura,Colombia,COL,0,0,1,1,1,2,3,0.0,0.0,3367.9227255503,0.0,6453.08230362953,3367.9227255503,9821.00502917983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092329,port812,New Orleans,United States,USA,1,2,0,0,4,3,7,0.0,19194.6253409717,0.0,0.0,2626.50039694636,19194.6253409717,21821.1257379181,2322.76155463898,10381.3899283399,0.0,0.0,40279.6413912222,12704.1514829789,52983.7928742011,3124378
1179,2020-03-05,111.35,116.9,117.85,110.9,30.43K,-5.95%,port183,Buenaventura,Colombia,COL,2,0,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24291.1527225438,0.0,0.0,0.0,0.0,24291.1527225438,24291.1527225438,1092331,port812,New Orleans,United States,USA,1,7,1,0,7,9,16,478.446634964348,328.865733767768,10325.3451393462,0.0,1137.42247125362,11132.6575080783,12270.079979332,0.0,144057.711579259,0.0,0.0,38554.1408856785,144057.711579259,182611.852464938,3124380
1178,2020-03-06,107.4,112.3,114.0,106.15,30.51K,-3.55%,port183,Buenaventura,Colombia,COL,2,2,0,0,0,4,4,2698.57524945623,4376.59313328306,0.0,0.0,0.0,7075.16838273929,7075.16838273929,1078.2081537124,0.0,0.0,0.0,0.0,1078.2081537124,1078.2081537124,1092333,port812,New Orleans,United States,USA,3,9,1,0,6,13,19,0.0,47811.3811012693,3540.20670330692,0.0,31111.6363256668,51351.5878045763,82463.2241302431,11065.3708258404,66080.304560788,0.0,0.0,46433.8418233496,77145.6753866284,123579.517209978,3124382
1177,2020-03-09,109.2,102.95,110.9,102.55,40.02K,1.68%,port183,Buenaventura,Colombia,COL,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,2575.16220314329,0.0,2575.16220314329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092339,port812,New Orleans,United States,USA,2,8,1,0,4,11,15,1063.41208195347,2010.92446692547,0.0,0.0,8867.20395011114,3074.33654887894,11941.5404989901,751.426803150665,124173.87556482,5345.39818132157,0.0,19297.0578391414,130270.700549293,149567.758388434,3124120
1176,2020-03-10,114.35,109.2,116.15,108.55,33.44K,4.72%,port183,Buenaventura,Colombia,COL,2,1,0,0,1,3,4,0.0,5797.99148319097,0.0,0.0,0.0,5797.99148319097,5797.99148319097,4120.6495858096,0.0,0.0,0.0,515.0025634716,4120.6495858096,4635.6521492812,1092341,port812,New Orleans,United States,USA,2,11,0,0,6,13,19,0.0,11225.8746652529,0.0,0.0,41023.9231610562,11225.8746652529,52249.7978263091,19355.9821504919,156466.97893238,0.0,0.0,13473.4246859336,175822.961082872,189296.385768806,3124127
1175,2020-03-11,112.05,114.35,116.05,111.4,23.62K,-2.01%,port183,Buenaventura,Colombia,COL,0,1,0,0,0,1,1,0.0,4378.63409380676,0.0,0.0,0.0,4378.63409380676,4378.63409380676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092343,port812,New Orleans,United States,USA,0,4,1,0,6,5,11,0.0,8617.29580303274,2344.87508497631,0.0,531.425798332178,10962.1708880091,11493.5966863412,0.0,27126.37379785,0.0,0.0,24135.4615906682,27126.37379785,51261.8353885182,3124133
1174,2020-03-12,108.85,109.55,110.5,107.45,31.44K,-2.86%,port183,Buenaventura,Colombia,COL,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6669.89030387237,0.0,0.0,0.0,0.0,6669.89030387237,6669.89030387237,1092345,port812,New Orleans,United States,USA,2,6,0,0,7,8,15,0.0,53342.3005433953,0.0,0.0,29128.88713223,53342.3005433953,82471.1876756253,3559.24746224131,81807.5642583867,0.0,0.0,42274.7865261993,85366.811720628,127641.598246827,3124139
1173,2020-03-13,106.75,110.2,112.8,106.3,30.75K,-1.93%,port183,Buenaventura,Colombia,COL,1,1,0,1,0,3,3,0.0,9631.26677802741,0.0,904.989678046855,0.0,10536.2564560743,10536.2564560743,1073.52838581733,0.0,0.0,0.0,0.0,1073.52838581733,1073.52838581733,1092347,port812,New Orleans,United States,USA,3,4,0,0,11,7,18,0.0,36576.4765315622,0.0,0.0,70043.0644167447,36576.4765315622,106619.540948307,26190.3275746761,18881.1933231363,0.0,0.0,61077.0691631792,45071.5208978124,106148.590060992,3124145
