"Date","Price","Open","High","Low","Vol.","Change %"
"10/15/2021","111.45","112.45","112.92","110.95","5.86M","-0.38%"
"10/14/2021","111.87","111.08","112.61","111.01","5.20M","1.00%"
"10/13/2021","110.76","111.39","111.48","109.41","4.81M","-0.22%"
"10/12/2021","111.00","111.72","111.87","110.65","3.87M","0.05%"
"10/11/2021","110.94","112.89","113.56","110.92","5.99M","-0.25%"
"10/08/2021","111.22","112.58","112.65","111.13","3.79M","-0.88%"
"10/07/2021","112.21","112.38","112.98","112.05","5.55M","0.51%"
"10/06/2021","111.64","110.18","112.02","109.48","5.73M","0.71%"
"10/05/2021","110.85","111.13","111.48","110.03","5.88M","-0.55%"
"10/04/2021","111.46","112.43","113.08","111.02","4.50M","-1.29%"
"10/01/2021","112.92","110.89","113.46","110.54","5.64M","2.37%"
"09/30/2021","110.31","111.52","112.16","110.31","5.98M","-1.66%"
"09/29/2021","112.17","111.90","112.52","111.57","4.39M","0.41%"
"09/28/2021","111.71","112.68","113.00","111.08","5.92M","-1.73%"
"09/27/2021","113.68","113.61","114.67","112.91","3.99M","-0.38%"
"09/24/2021","114.11","114.13","114.86","113.76","3.96M","-0.03%"
"09/23/2021","114.14","113.39","114.71","113.10","3.84M","0.95%"
"09/22/2021","113.07","113.06","114.03","112.32","4.58M","0.76%"
"09/21/2021","112.22","111.92","113.60","111.75","5.47M","0.36%"
"09/20/2021","111.82","111.35","112.27","110.38","7.80M","-1.40%"
"09/17/2021","113.41","114.54","114.85","113.12","9.26M","-1.10%"
"09/16/2021","114.67","114.79","115.27","113.19","8.00M","0.03%"
"09/15/2021","114.64","116.96","117.02","113.12","11.56M","-3.55%"
"09/14/2021","118.86","119.72","119.86","118.36","4.72M","-0.27%"
"09/13/2021","119.18","119.89","120.15","118.56","4.38M","-0.13%"
"09/10/2021","119.34","119.35","120.76","118.89","6.52M","0.46%"
"09/09/2021","118.79","117.98","120.07","117.80","4.71M","0.64%"
"09/08/2021","118.04","116.10","118.19","115.51","5.55M","1.94%"
"09/07/2021","115.79","117.09","117.13","115.47","4.27M","-1.19%"
"09/03/2021","117.19","116.84","117.58","116.34","2.92M","-0.15%"
"09/02/2021","117.37","118.29","118.36","116.90","3.80M","-0.07%"
"09/01/2021","117.45","118.01","118.33","117.28","4.40M","-0.03%"
"08/31/2021","117.49","115.77","117.60","115.65","7.00M","1.63%"
"08/30/2021","115.61","115.61","115.82","114.63","3.08M","0.43%"
"08/27/2021","115.12","114.61","115.39","114.18","4.20M","0.70%"
"08/26/2021","114.32","115.62","115.77","113.86","5.19M","-1.08%"
"08/25/2021","115.57","115.59","115.99","115.00","3.88M","0.43%"
"08/24/2021","115.08","115.39","115.85","114.94","3.45M","-0.06%"
"08/23/2021","115.15","114.71","115.46","114.71","4.24M","0.45%"
"08/20/2021","114.63","113.98","115.00","113.66","3.49M","0.27%"
"08/19/2021","114.32","114.51","115.07","113.61","5.32M","-1.18%"
"08/18/2021","115.68","116.28","116.74","115.60","4.52M","-0.76%"
"08/17/2021","116.57","116.62","116.94","115.56","4.72M","-0.83%"
"08/16/2021","117.54","116.69","117.73","116.41","5.98M","0.67%"
"08/13/2021","116.76","115.94","116.83","115.40","4.36M","0.87%"
"08/12/2021","115.75","116.41","116.78","115.51","4.36M","-0.64%"
"08/11/2021","116.50","116.34","117.29","115.90","6.47M","0.09%"
"08/10/2021","116.39","118.39","118.50","115.98","9.84M","-1.31%"
"08/09/2021","117.94","118.99","119.02","117.75","4.56M","-0.93%"
"08/06/2021","119.05","119.14","119.21","118.08","6.83M","0.02%"
"08/05/2021","119.03","118.72","119.09","118.11","4.28M","0.66%"
"08/04/2021","118.25","119.13","119.21","117.57","6.68M","-0.74%"
"08/03/2021","119.13","120.57","120.75","117.52","6.03M","-1.03%"
"08/02/2021","120.37","122.03","122.98","120.07","6.00M","-0.87%"
"07/30/2021","121.43","122.19","122.98","121.10","5.71M","-0.78%"
"07/29/2021","122.38","122.93","123.47","122.14","6.62M","-0.02%"
"07/28/2021","122.41","122.56","123.33","121.39","11.75M","-2.87%"
"07/27/2021","126.03","126.08","126.16","124.81","6.11M","-0.02%"
"07/26/2021","126.06","125.74","126.10","124.25","4.83M","0.07%"
"07/23/2021","125.97","124.55","126.32","123.92","7.93M","2.72%"
"07/22/2021","122.63","119.34","122.92","119.07","7.17M","2.82%"
"07/21/2021","119.27","117.54","119.65","117.48","4.38M","1.58%"
"07/20/2021","117.42","115.63","118.07","115.33","5.12M","1.82%"
"07/19/2021","115.32","117.54","117.55","114.33","7.73M","-2.87%"
"07/16/2021","118.73","119.68","120.48","118.50","5.02M","-0.20%"
"07/15/2021","118.97","119.29","119.58","118.18","6.47M","-0.69%"
"07/14/2021","119.80","119.94","120.82","119.68","5.70M","0.21%"
"07/13/2021","119.55","118.54","119.99","118.45","5.53M","0.92%"
"07/12/2021","118.46","117.75","118.78","117.39","5.68M","0.84%"
"07/09/2021","117.47","116.06","117.74","116.00","3.53M","1.28%"
"07/08/2021","115.99","115.45","116.76","115.24","4.49M","-0.98%"
"07/07/2021","117.14","115.88","117.77","115.65","5.38M","1.22%"
"07/06/2021","115.73","115.08","115.85","114.32","5.29M","0.66%"
"07/02/2021","114.97","113.97","115.30","113.71","4.72M","1.38%"
"07/01/2021","113.41","111.95","113.49","111.81","4.81M","1.43%"
"06/30/2021","111.81","112.34","112.59","111.27","6.76M","-0.41%"
"06/29/2021","112.27","112.07","112.69","111.53","3.79M","0.03%"
