,date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
3124538,2020/11/26 00:00:00+00,2020,11,26,port812,New Orleans,United States,USA,3,3,2,0,4,8,12,661.834643335142,0.0,1405.07441055322,0.0,2575.19855290003,2066.90905388836,4642.10760678838,16521.7333957328,24621.2865944397,5983.83216060068,0.0,20850.8401770647,47126.8521507732,67977.692327838,3124539
3124544,2020/11/27 00:00:00+00,2020,11,27,port812,New Orleans,United States,USA,0,6,0,0,2,6,8,0.0,16565.9143078452,0.0,0.0,429.706998568476,16565.9143078452,16995.6213064136,0.0,165509.419056126,0.0,0.0,5906.34963822256,165509.419056126,171415.768694349,3124545
3124550,2020/11/28 00:00:00+00,2020,11,28,port812,New Orleans,United States,USA,3,7,1,0,4,11,15,10059.2517348991,25498.0733447379,1215.05811294084,0.0,1408.68314508364,36772.3831925778,38181.0663376615,5471.74676169932,149342.91908492,0.0,0.0,38848.5694892232,154814.665846619,193663.235335843,3124551
3124556,2020/11/29 00:00:00+00,2020,11,29,port812,New Orleans,United States,USA,1,6,1,0,5,8,13,0.0,23718.1111862306,2094.73926568175,0.0,111152.319276079,25812.8504519123,136965.169727991,747.643693019854,63407.7003555766,0.0,0.0,1022.76118180536,64155.3440485965,65178.1052304019,3124557
3124562,2020/11/30 00:00:00+00,2020,11,30,port812,New Orleans,United States,USA,2,6,1,0,7,9,16,863.87236514088,16788.6184613255,0.0,0.0,1985.504831589,17652.4908264664,19637.9956580554,5434.87217632812,116208.087269556,2531.36844073828,0.0,49041.646973314,124174.327886623,173215.974859937,3124563
3124568,2020/12/01 00:00:00+00,2020,12,1,port812,New Orleans,United States,USA,1,8,1,0,7,10,17,0.0,25192.6569148804,0.0,0.0,0.0,25192.6569148804,25192.6569148804,1962.64494645928,125351.27287815,5838.50274338301,0.0,56038.2024450911,133152.420567992,189190.623013083,3124569
3124574,2020/12/02 00:00:00+00,2020,12,2,port812,New Orleans,United States,USA,0,8,1,0,4,9,13,0.0,41934.5993047801,1405.07441055322,0.0,13606.1606955566,43339.6737153334,56945.83441089,0.0,139579.458467051,1378.28179610593,0.0,3692.30326050037,140957.740263157,144650.043523658,3124575
3124580,2020/12/03 00:00:00+00,2020,12,3,port812,New Orleans,United States,USA,2,6,2,0,5,10,15,0.0,3729.29950507783,3289.50459071944,0.0,3957.86091517325,7018.80409579727,10976.6650109705,12681.6730091047,115193.510206585,6373.0325936014,0.0,36347.4551047606,134248.215809291,170595.670914051,3124581
3124623,2020/12/04 00:00:00+00,2020,12,4,port812,New Orleans,United States,USA,1,12,1,0,3,14,17,939.975879069832,2675.95416421992,0.0,0.0,3174.90175017607,3615.93004328975,6790.83179346581,0.0,177962.105297768,923.683985318148,0.0,18759.3102456553,178885.789283086,197645.099528741,3124624
3124624,2020/12/05 00:00:00+00,2020,12,5,port812,New Orleans,United States,USA,2,5,2,0,7,9,16,0.0,682.895647935831,5144.59015960894,0.0,10018.200369532,5827.48580754477,15845.6861770767,2566.57506272769,78735.9934124644,2870.22230057048,0.0,24317.560728264,84172.7907757625,108490.351504027,3124625
